MPI_Ranks, OMP_Per_Rank, Total_Cores, Single_Rank_BW(GB/s), Aggregate_BW(GB/s), Efficiency(%)
1, 16, 16, 12326.2,12326.2, 24652.4
1, 26, 26, 14550.3,14550.3, 29100.6
1, 32, 32, 15342.6,15342.6, 30685.1
1, 52, 52, 28953.8,28953.8, 57907.5
2, 16, 32, 12471.2,24942.4, 49884.8
2, 26, 52, 14368.3,28736.6, 57473.4
2, 32, 64, 15318,30636.0, 61272
2, 52, 104, 28978.1,57956.2, 115913
4, 16, 64, 12691.7,50766.8, 101534
4, 26, 104, 14318,57272.0, 114544
4, 32, 128, 15270,61080.0, 122160
4, 52, 208, 28894.7,115578.8, 231158
8, 16, 128, 12856.3,102850.4, 205701
8, 26, 208, 14290.9,114327.2, 228654
8, 32, 256, 14857.3,118858.4, 237717
8, 52, 416, 28755.1,230040.8, 460082
